1002163,7,4
1000307,4,7
1000302,3,4
1000478,5,5
1000439,5,4
1001311,4,3
1000394,4,4
1000335,4,6
1000339,4,7
1000420,5,5
1000287,5,4
1000293,4,7
1000280,3,3
1000301,7,4
1000255,3,5
1000390,5,3
1000330,6,7
1000423,7,7
1000334,7,5
1000469,5,4
1000338,4,4
1000438,7,5
1000330,7,5
1000318,5,4
1000402,7,7
1000352,6,5
1000322,7,4
1000837,4,4
1000461,7,5
1000334,4,4
1000326,7,4
1000434,5,6
1000288,3,4
1000464,7,5
1000468,5,4
1000332,4,6
1000465,5,7
1000308,5,7
1000301,4,4
1000376,3,3
1000325,5,4
1000465,4,7
1000472,5,5
1000457,7,4
1000484,4,4
1000467,5,6
1000330,5,4
1000506,8,5
1000453,5,7
1000468,5,4
1000308,7,5
1001180,8,4
1000339,4,7
1000322,6,4
1000320,4,3
1000325,5,7
1000305,4,7
1000380,3,3
1000330,4,7
1000340,4,5
1000324,7,5
1000331,4,5
1000327,4,5
1001157,7,4
1000464,7,7
1000468,7,4
1000325,4,7
1000361,6,4
1000458,5,7
1001003,4,4
1000468,8,4
1000418,5,4
1000572,5,4
1000469,8,7
1000331,4,11
1000470,4,4
1000447,5,4
1000305,5,6
1000283,3,6
1000449,7,4
1000510,3,5
1000401,6,4
1000475,4,4
1000254,5,3
1000367,5,9
1000331,5,6
1000335,4,4
1000481,5,5
1000429,5,4
1000356,4,9
1000421,5,4
1000332,4,6
1000338,4,4
1001104,5,7
1000466,7,4
1000416,7,4
1000326,7,7
1000340,5,6
1000368,4,5
1000454,8,4
1000470,6,7
1000319,4,7
1000450,7,4
1000465,7,7
1000321,6,6
1000468,4,5
1000312,6,4
1000425,4,4
1000457,7,4
1000329,4,4
1000307,7,4
1000826,4,4
1000336,9,7
1000468,4,5
1000467,4,7
1000329,7,8
1000309,4,7
1000487,7,6
1000281,3,3
1000498,5,7
1000414,5,4
1000456,7,4
1000333,4,4
1000467,4,7
1000476,5,4
1000331,7,5
1000336,5,7
1000404,5,5
1000392,5,5
1000456,5,5
1000312,4,4
1000282,3,2
1000472,5,4
1000329,7,5
1000330,5,6
1000447,7,4
1000287,3,3
1000386,5,7
1000330,7,6
1000462,5,4
1000375,7,4
1001118,5,4
1000321,4,4
1000421,4,4
1000595,5,5
1000471,4,5
1000328,5,7
1000427,5,4
1000307,4,4
1000322,4,7
1000469,5,6
1000467,5,7
1000461,7,4
1000455,5,4
1000410,7,6
1000515,7,7
1000468,7,4
1000531,7,4
1000329,4,4
1001095,5,6
1000334,6,6
1000469,5,7
1000466,5,5
1000421,5,4
1000439,12,4
1000463,5,5
1000320,4,4
1000476,5,4
1000421,7,7
1000430,6,6
1000291,3,3
1001192,7,5
1000493,5,7
1000470,8,6
1000326,5,7
1000336,4,5
1000334,7,5
1000473,5,4
1000327,6,4
1000454,4,4
1000323,4,5
1000304,5,7
1000277,3,3
1001100,5,7
1000476,7,4
1000470,7,4
1000338,4,7
1000358,5,7
1000555,6,6
1000462,7,7
1000346,4,4
1000475,7,7
1000463,4,4
1000469,5,7
1000462,8,4
1001084,7,4
